customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00134,Male,0,No,No,33,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),61.75,2106.69,Yes
CUST-00135,Male,0,No,Yes,35,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),109.6,3848.17,No
CUST-00136,Female,0,No,No,64,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,112.97,7286.56,No
CUST-00137,Male,1,Yes,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,56.0,2209.72,No
CUST-00138,Female,0,Yes,No,26,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),52.64,1467.5,No
CUST-00139,Female,0,No,No,20,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,88.89,1774.27,No
CUST-00140,Female,1,Yes,No,52,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),33.25,1685.89,No
CUST-00141,Male,1,No,No,52,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Credit card (automatic),82.47,4214.49,No
CUST-00142,Female,0,No,No,39,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),93.33,3670.7,No
CUST-00143,Female,0,No,No,12,No,No phone service,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,46.96,615.89,No
CUST-00144,Female,0,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),69.66,757.11,No
CUST-00145,Male,0,No,No,18,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),85.05,1555.11,No
CUST-00146,Male,0,No,Yes,1,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,28.19,17.88,Yes
CUST-00147,Female,0,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),70.92,2530.46,No
CUST-00148,Female,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.5,881.6,Yes
CUST-00149,Male,0,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,53.11,1517.89,No
CUST-00150,Female,0,No,No,68,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),66.41,4602.46,No
CUST-00151,Male,0,Yes,Yes,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),118.43,2107.35,No
CUST-00152,Female,0,No,Yes,59,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,98.72,5784.43,No
CUST-00153,Male,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,118.92,1751.49,No
CUST-00154,Female,1,Yes,No,45,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),66.82,3011.42,No
CUST-00155,Female,0,No,No,62,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,73.34,4539.28,No
CUST-00156,Male,0,Yes,No,61,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),77.88,4721.02,No
CUST-00157,Female,0,Yes,Yes,43,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,87.88,3832.46,No
CUST-00158,Male,0,Yes,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),115.46,1722.28,Yes
CUST-00159,Male,0,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,93.23,2602.46,No
CUST-00160,Male,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),100.5,3092.65,No
CUST-00161,Male,0,No,Yes,61,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),64.45,3933.57,No
CUST-00162,Male,0,No,No,28,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.82,2698.84,Yes
CUST-00163,Female,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),67.42,4100.99,No
CUST-00164,Female,0,No,No,69,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,125.0,8572.24,No
CUST-00165,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),75.7,587.01,No
CUST-00166,Male,1,No,Yes,68,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),77.31,5337.14,No
CUST-00167,Female,0,Yes,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,105.08,4313.18,Yes
CUST-00168,Female,0,No,Yes,44,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,121.75,5385.57,No
CUST-00169,Female,0,No,No,23,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),105.26,2406.67,Yes
CUST-00170,Female,0,Yes,No,25,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),47.49,1174.04,No
CUST-00171,Female,0,Yes,Yes,39,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),105.1,4137.26,No
CUST-00172,Female,0,Yes,No,15,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,34.26,500.28,No
CUST-00173,Male,0,Yes,Yes,52,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,57.34,3012.41,No
CUST-00174,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Mailed check,58.87,2932.16,No
CUST-00175,Male,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,60.35,0.0,No
CUST-00176,Female,0,No,No,16,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,108.28,1735.85,Yes
